iter	Passed	Remaining
0	1	197
1	3	192
2	5	176
3	6	164
4	8	152
5	9	150
6	11	151
7	12	148
8	14	146
9	15	141
10	17	140
11	18	139
12	20	138
13	22	135
14	22	130
15	24	128
16	25	125
17	27	124
18	28	123
19	30	122
20	32	120
21	34	123
22	36	122
23	38	122
24	40	122
25	42	121
26	44	120
27	46	119
28	48	118
29	50	117
30	52	116
31	54	115
32	56	114
33	58	112
34	60	111
35	62	110
36	64	109
37	66	107
38	68	106
39	70	105
40	72	103
41	72	100
42	74	99
43	76	97
44	78	96
45	80	94
46	82	93
47	84	91
48	86	90
49	88	88
50	91	87
51	120	110
52	121	107
53	123	105
54	124	101
55	126	99
56	128	96
57	131	95
58	132	92
59	134	89
60	136	87
61	138	84
62	140	82
63	142	79
64	143	77
65	145	74
66	146	72
67	147	69
68	149	67
69	150	64
70	152	62
71	153	59
72	154	57
73	156	55
74	157	52
75	159	50
76	161	48
77	163	45
78	164	43
79	165	41
80	167	39
81	168	37
82	170	34
83	171	32
84	172	30
85	174	28
86	175	26
87	176	24
88	178	22
89	179	19
90	181	17
91	183	15
92	184	13
93	186	11
94	188	9
95	191	7
96	194	6
97	196	4
98	198	2
99	200	0
