iter	Passed	Remaining
0	138	138080
1	140	69932
2	141	47171
3	143	35677
4	145	28855
5	146	24215
6	147	20879
7	148	18385
8	149	16448
9	150	14889
10	151	13596
11	152	12521
12	152	11608
13	154	10855
14	155	10184
15	156	9619
16	157	9114
17	158	8657
18	159	8246
19	160	7871
20	161	7531
21	162	7223
22	163	6942
23	164	6683
24	169	6622
25	171	6415
26	172	6225
27	174	6042
28	175	5862
29	176	5699
30	177	5546
31	178	5403
32	179	5266
33	181	5168
34	182	5041
35	185	4972
36	186	4863
37	188	4761
38	189	4661
39	190	4563
40	190	4467
41	192	4383
42	193	4301
43	194	4222
44	195	4143
45	196	4068
46	197	3994
47	197	3923
48	198	3857
49	199	3795
50	200	3734
51	201	3678
52	202	3625
53	203	3571
54	204	3516
55	205	3464
56	206	3417
57	207	3369
58	208	3323
59	209	3277
60	210	3236
61	211	3192
62	211	3152
63	212	3112
64	213	3072
65	214	3038
66	216	3008
67	217	2974
68	218	2943
69	219	2910
70	220	2879
71	220	2846
72	221	2815
73	222	2786
74	223	2759
75	224	2731
76	225	2703
77	226	2676
78	227	2649
79	227	2621
80	228	2596
81	230	2576
82	230	2548
83	232	2530
84	233	2511
85	234	2490
86	235	2467
87	236	2446
88	236	2425
89	237	2405
90	238	2384
91	239	2365
92	240	2346
93	241	2330
94	242	2311
95	243	2294
96	244	2276
97	245	2258
98	246	2245
99	247	2229
100	249	2216
101	249	2200
102	250	2183
103	251	2167
104	252	2151
105	253	2136
106	254	2120
107	254	2105
108	255	2090
109	256	2076
110	257	2061
111	258	2047
112	259	2035
113	260	2026
114	261	2014
115	262	2001
116	263	1988
117	264	1976
118	265	1963
119	266	1950
120	266	1938
121	267	1926
122	268	1914
123	269	1902
124	270	1891
125	271	1880
126	271	1868
127	272	1857
128	273	1847
129	275	1840
130	276	1831
131	277	1821
132	277	1811
133	278	1802
134	279	1793
135	280	1783
136	281	1774
137	282	1765
138	283	1756
139	284	1748
140	285	1739
141	286	1728
142	286	1718
143	288	1712
144	289	1704
145	290	1699
146	291	1691
147	292	1682
148	293	1674
149	294	1666
150	295	1658
151	296	1651
152	296	1643
153	297	1635
154	298	1627
155	299	1619
156	300	1611
157	301	1604
158	302	1597
159	303	1591
160	303	1582
161	304	1577
162	305	1570
163	306	1563
164	307	1556
165	308	1549
166	309	1541
167	309	1534
168	310	1527
169	311	1521
170	312	1515
171	313	1509
172	314	1502
173	315	1496
174	316	1490
175	317	1485
176	318	1479
177	319	1476
178	320	1470
179	321	1465
180	322	1459
181	323	1453
182	324	1447
183	325	1442
184	326	1436
185	326	1430
186	327	1425
187	328	1419
188	329	1414
189	330	1410
190	331	1405
191	332	1400
192	333	1396
193	335	1392
194	336	1387
195	336	1382
196	337	1377
197	339	1373
198	340	1368
199	340	1363
200	341	1358
201	342	1353
202	343	1348
203	344	1343
204	345	1340
205	346	1336
206	347	1332
207	349	1330
208	350	1327
209	351	1323
210	353	1320
211	354	1316
212	355	1313
213	356	1309
214	357	1306
215	358	1301
216	359	1298
217	360	1293
218	361	1288
219	362	1284
220	363	1280
221	364	1278
222	365	1274
223	366	1270
224	367	1267
225	368	1263
226	369	1259
227	370	1255
228	371	1251
229	372	1247
230	373	1244
231	375	1241
232	376	1237
233	377	1234
234	378	1232
235	379	1229
236	381	1226
237	382	1223
238	383	1220
239	384	1216
240	385	1213
241	386	1209
242	386	1205
243	389	1205
244	391	1205
245	392	1202
246	394	1201
247	395	1200
248	398	1201
249	400	1200
250	402	1199
251	403	1198
252	406	1198
253	407	1198
254	409	1197
255	412	1197
256	413	1195
257	415	1193
258	416	1190
259	417	1187
260	419	1187
261	421	1185
262	422	1183
263	423	1181
264	425	1179
265	427	1178
266	429	1177
267	430	1176
268	432	1174
269	434	1174
270	436	1173
271	438	1172
272	439	1171
273	441	1170
274	443	1168
275	444	1166
276	446	1165
277	447	1163
278	449	1161
279	450	1158
280	451	1155
281	452	1152
282	453	1149
283	454	1145
284	455	1142
285	456	1139
286	457	1137
287	458	1134
288	460	1133
289	461	1130
290	462	1127
291	464	1125
292	465	1123
293	466	1120
294	467	1116
295	468	1113
296	469	1110
297	470	1107
298	470	1104
299	471	1100
300	472	1097
301	473	1095
302	475	1093
303	477	1094
304	480	1094
305	482	1093
306	483	1090
307	484	1087
308	484	1084
309	485	1081
310	486	1078
311	487	1075
312	488	1072
313	489	1068
314	490	1065
315	490	1062
316	491	1059
317	493	1057
318	494	1055
319	495	1052
320	496	1049
321	497	1047
322	498	1044
323	499	1041
324	500	1038
325	501	1036
326	502	1033
327	502	1030
328	503	1027
329	504	1024
330	505	1021
331	506	1018
332	507	1015
333	508	1013
334	509	1011
335	510	1008
336	511	1006
337	512	1003
338	513	1001
339	514	998
340	515	996
341	516	993
342	517	990
343	518	988
344	519	985
345	520	983
346	521	981
347	522	978
348	523	976
349	524	974
350	525	971
351	526	969
352	527	967
353	528	964
354	529	962
355	530	959
356	531	957
357	532	955
358	533	952
359	534	950
360	535	948
361	536	946
362	538	945
363	540	943
364	541	941
365	542	939
366	543	936
367	544	934
368	545	932
369	546	930
370	547	927
371	548	925
372	549	923
373	550	921
374	551	919
375	553	917
376	553	915
377	555	913
378	556	911
379	557	909
380	558	906
381	559	904
382	560	902
383	561	899
384	561	897
385	562	895
386	563	893
387	564	890
388	565	888
389	566	885
390	567	884
391	568	882
392	569	880
393	570	877
394	571	875
395	572	873
396	573	871
397	574	868
398	575	866
399	576	864
400	577	862
401	578	860
402	579	858
403	580	856
404	581	854
405	582	852
406	583	850
407	584	848
408	585	846
409	586	844
410	587	842
411	588	840
412	589	838
413	590	836
414	591	833
415	592	831
416	593	829
417	594	827
418	595	825
419	595	822
420	597	821
421	598	820
422	599	818
423	600	815
424	601	813
425	602	811
426	603	809
427	604	807
428	605	805
429	606	803
430	606	801
431	607	799
432	608	797
433	609	794
434	610	792
435	611	791
436	612	789
437	614	787
438	615	786
439	616	784
440	617	782
441	617	780
442	618	778
443	619	776
444	620	774
445	621	772
446	622	770
447	623	768
448	624	766
449	625	764
450	626	763
451	628	761
452	629	759
453	630	757
454	631	755
455	631	753
456	632	752
457	633	750
458	634	748
459	635	746
460	636	744
461	637	742
462	638	740
463	639	738
464	640	736
465	641	735
466	643	733
467	644	732
468	645	730
469	646	728
470	647	727
471	648	725
472	649	723
473	650	721
474	651	719
475	652	717
476	652	715
477	654	714
478	655	712
479	656	711
480	658	710
481	659	708
482	660	706
483	661	705
484	662	703
485	663	701
486	664	699
487	665	698
488	666	696
489	667	694
490	668	692
491	669	691
492	670	689
493	671	687
494	672	686
495	673	684
496	674	682
497	675	681
498	677	679
499	677	677
500	678	676
501	679	674
502	680	672
503	681	670
504	682	668
505	683	666
506	683	664
507	684	663
508	685	661
509	686	659
510	688	658
511	689	657
512	690	655
513	691	653
514	692	652
515	693	650
516	694	648
517	695	647
518	696	645
519	697	643
520	698	641
521	699	640
522	700	638
523	701	637
524	703	636
525	704	634
526	705	632
527	706	631
528	707	630
529	708	628
530	709	626
531	710	625
532	711	623
533	712	621
534	713	620
535	714	618
536	716	618
537	718	616
538	719	615
539	721	614
540	722	612
541	723	611
542	724	609
543	725	607
544	726	606
545	727	604
546	728	603
547	729	601
548	730	600
549	732	599
550	733	597
551	734	596
552	735	594
553	736	593
554	737	591
555	739	590
556	740	588
557	741	587
558	742	586
559	744	584
560	745	583
561	747	582
562	748	581
563	749	579
564	750	578
565	751	576
566	752	575
567	754	573
568	755	572
569	756	570
570	757	569
571	759	568
572	762	567
573	763	566
574	765	565
575	766	564
576	767	562
577	769	561
578	770	560
579	772	559
580	773	557
581	775	556
582	776	555
583	777	554
584	778	552
585	780	551
586	781	549
587	782	548
588	783	546
589	784	545
590	785	543
591	786	542
592	787	540
593	788	539
594	789	537
595	791	536
596	792	535
597	793	533
598	794	531
599	795	530
600	796	528
601	797	527
602	798	525
603	799	524
604	800	522
605	801	521
606	802	519
607	803	518
608	805	516
609	806	515
610	807	514
611	808	512
612	809	511
613	810	509
614	811	508
615	812	506
616	813	505
617	814	503
618	815	502
619	816	500
620	817	499
621	819	497
622	820	496
623	821	495
624	823	493
625	824	492
626	825	490
627	826	489
628	827	488
629	828	486
630	829	485
631	830	483
632	832	482
633	833	481
634	834	479
635	836	478
636	837	477
637	838	475
638	839	474
639	841	473
640	842	471
641	843	470
642	844	468
643	845	467
644	846	465
645	847	464
646	849	463
647	850	462
648	851	460
649	853	459
650	854	457
651	855	456
652	856	455
653	857	453
654	858	452
655	859	450
656	860	449
657	861	447
658	863	446
659	864	445
660	865	443
661	866	442
662	867	441
663	869	439
664	870	438
665	871	437
666	880	439
667	881	438
668	882	436
669	883	435
670	884	433
671	885	432
672	886	430
673	887	429
674	888	427
675	889	426
676	890	425
677	891	423
678	892	422
679	894	420
680	895	419
681	897	418
682	898	416
683	899	415
684	900	413
685	901	412
686	902	411
687	903	409
688	904	408
689	905	406
690	906	405
691	907	403
692	908	402
693	910	401
694	911	400
695	913	398
696	914	397
697	915	396
698	916	394
699	917	393
700	918	391
701	920	390
702	921	389
703	923	388
704	924	387
705	926	385
706	927	384
707	928	383
708	930	381
709	931	380
710	932	378
711	933	377
712	934	376
713	935	374
714	937	373
715	938	372
716	940	371
717	941	369
718	942	368
719	944	367
720	945	365
721	946	364
722	947	362
723	948	361
724	950	360
725	951	359
726	953	357
727	955	356
728	956	355
729	957	354
730	958	352
731	960	351
732	961	350
733	962	348
734	963	347
735	965	346
736	966	344
737	967	343
738	969	342
739	970	340
740	971	339
741	973	338
742	974	337
743	975	335
744	976	334
745	978	333
746	979	331
747	980	330
748	981	329
749	983	327
750	984	326
751	986	325
752	987	324
753	989	322
754	990	321
755	992	320
756	993	318
757	994	317
758	996	316
759	998	315
760	999	313
761	1001	312
762	1002	311
763	1003	310
764	1005	308
765	1006	307
766	1007	306
767	1008	304
768	1010	303
769	1011	302
770	1012	300
771	1014	299
772	1016	298
773	1017	297
774	1018	295
775	1020	294
776	1021	293
777	1022	291
778	1023	290
779	1024	289
780	1026	287
781	1027	286
782	1029	285
783	1031	284
784	1032	282
785	1033	281
786	1034	280
787	1036	278
788	1037	277
789	1038	276
790	1039	274
791	1041	273
792	1042	272
793	1043	270
794	1045	269
795	1046	268
796	1047	266
797	1048	265
798	1049	264
799	1051	262
800	1052	261
801	1053	260
802	1055	258
803	1056	257
804	1057	256
805	1059	254
806	1060	253
807	1062	252
808	1063	251
809	1065	249
810	1066	248
811	1067	247
812	1068	245
813	1070	244
814	1071	243
815	1072	241
816	1074	240
817	1075	239
818	1077	238
819	1078	236
820	1080	235
821	1081	234
822	1082	232
823	1083	231
824	1084	230
825	1085	228
826	1087	227
827	1089	226
828	1090	224
829	1092	223
830	1093	222
831	1094	221
832	1095	219
833	1097	218
834	1098	217
835	1099	215
836	1101	214
837	1102	213
838	1104	211
839	1105	210
840	1106	209
841	1107	207
842	1108	206
843	1109	205
844	1110	203
845	1112	202
846	1113	201
847	1114	199
848	1116	198
849	1117	197
850	1119	195
851	1120	194
852	1121	193
853	1122	191
854	1123	190
855	1124	189
856	1125	187
857	1127	186
858	1128	185
859	1129	183
860	1130	182
861	1132	181
862	1134	180
863	1135	178
864	1137	177
865	1138	176
866	1139	174
867	1140	173
868	1142	172
869	1143	170
870	1144	169
871	1145	168
872	1147	166
873	1148	165
874	1150	164
875	1151	162
876	1152	161
877	1153	160
878	1155	158
879	1156	157
880	1157	156
881	1158	154
882	1159	153
883	1160	152
884	1162	151
885	1164	149
886	1165	148
887	1166	147
888	1168	145
